Experiment ID;Sheet;merge_number;Name_day0;Index_day0;Wells_day0;multiple_day0;Path 8bcrop_day0;Path segmented_day0;Area (pix2)_day0;Centroid_day0;Perimeter (pix)_day0;Solidity_day0;Equivalent Diameter (pix)_day0;Circularity_day0;Aspect ratio_day0;Mean grey value_day0;Homogeneity_day0;Energy_day0;Correlation_day0;Name_day1;Index_day1;Wells_day1;multiple_day1;Path 8bcrop_day1;Path segmented_day1;Area (pix2)_day1;Centroid_day1;Perimeter (pix)_day1;Solidity_day1;Equivalent Diameter (pix)_day1;Circularity_day1;Aspect ratio_day1;Mean grey value_day1;Homogeneity_day1;Energy_day1;Correlation_day1;Name_day2;Index_day2;Wells_day2;multiple_day2;Path 8bcrop_day2;Path segmented_day2;Area (pix2)_day2;Centroid_day2;Perimeter (pix)_day2;Solidity_day2;Equivalent Diameter (pix)_day2;Circularity_day2;Aspect ratio_day2;Mean grey value_day2;Homogeneity_day2;Energy_day2;Correlation_day2;Max temp (°C)_day2;Normalised alb_day2;Label_day2;Name_delta;Index_delta;Wells_delta;multiple_delta;Path 8bcrop_delta;Path segmented_delta;Area (pix2)_delta;Centroid_delta;Perimeter (pix)_delta;Solidity_delta;Equivalent Diameter (pix)_delta;Circularity_delta;Aspect ratio_delta;Mean grey value_delta;Homogeneity_delta;Energy_delta;Correlation_delta
2;Tube 2;1602130.0;1602130.0;0.0;213.0;False;E:\Experiments\PTT\Spheroids\30062025_mcf10\01072025\Analysis\2025-07-01_124914_tube2_cropped_8bits\16_0213_0_8bits.tiff;E:\Experiments\PTT\Spheroids\30062025_mcf10\01072025\Analysis\2025-07-01_124914_tube2_segmentationDebug\16_0213_0_segmented.tiff;1698.5;(80. 71);167.63960897922516;0.9407366380504016;46.50373497615728;0.7594901344732061;0.7383731858776377;574.3055359675784;0.9633974525923644;0.9188073822572576;0.9229311157256328;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;Tube 2;1602140.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1602140.0;0.0;214.0;False;E:\Experiments\PTT\Spheroids\30062025_mcf10\0207 aftr laser\Analysis\2025-07-02_164714_tube2_cropped_8bits\16_0214_0_8bits.tiff;E:\Experiments\PTT\Spheroids\30062025_mcf10\0207 aftr laser\Analysis\2025-07-02_164714_tube2_segmentationDebug\16_0214_0_segmented.tiff;2549.0;(79. 76);216.8528115749359;0.9113335716839472;56.96918113796204;0.6811607027645427;0.7353812205574562;764.9166475311079;0.9562080886559368;0.8793992384489868;0.8998759227750271;39.0;105.2213177308573;Alive;;;;;;;;;;;;;;;;;
2;Tube 2;1602180.0;;;;;;;;;;;;;;;;;;1602180.0;0.0;218.0;False;E:\Experiments\PTT\Spheroids\30062025_mcf10\0207 before lqse\Analysis\2025-07-02_112356_tube2_cropped_8bits\16_0218_0_8bits.tiff;E:\Experiments\PTT\Spheroids\30062025_mcf10\0207 before lqse\Analysis\2025-07-02_112356_tube2_segmentationDebug\16_0218_0_segmented.tiff;2164.0;(71. 92);217.6812390089035;0.8823649337410805;52.49085991681687;0.5738853244866419;0.6590867031207532;935.3255299781748;0.9561524254480416;0.8961759075933531;0.9018926541139344;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;Tube 2;1702160.0;1702160.0;0.0;216.0;False;E:\Experiments\PTT\Spheroids\30062025_mcf10\01072025\Analysis\2025-07-01_124914_tube2_cropped_8bits\17_0216_0_8bits.tiff;E:\Experiments\PTT\Spheroids\30062025_mcf10\01072025\Analysis\2025-07-01_124914_tube2_segmentationDebug\17_0216_0_segmented.tiff;1132.5;(114. 80);139.49747371673584;0.9290401968826908;37.97293489332332;0.7313333684823615;0.8905888208073006;470.1434097212086;0.9772116287161824;0.944922871809204;0.9151861705713008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;Tube 2;1702160.0;1702160.0;1.0;216.0;False;E:\Experiments\PTT\Spheroids\30062025_mcf10\01072025\Analysis\2025-07-01_124914_tube2_cropped_8bits\17_0216_0_8bits.tiff;E:\Experiments\PTT\Spheroids\30062025_mcf10\01072025\Analysis\2025-07-01_124914_tube2_segmentationDebug\17_0216_0_segmented.tiff;910.0;(57. 50);136.56854140758514;0.8852140077821011;34.03891869182977;0.6131262558281284;0.601858355900968;519.4163887585826;0.97807111034435;0.9545812570097444;0.8952805507066092;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;Tube 2;1702200.0;;;;;;;;;;;;;;;;;;1702200.0;0.0;220.0;False;E:\Experiments\PTT\Spheroids\30062025_mcf10\0207 before lqse\Analysis\2025-07-02_112356_tube2_cropped_8bits\17_0220_0_8bits.tiff;E:\Experiments\PTT\Spheroids\30062025_mcf10\0207 before lqse\Analysis\2025-07-02_112356_tube2_segmentationDebug\17_0220_0_segmented.tiff;1779.0;(61. 76);241.88224959373477;0.7771952817824378;47.59299475851309;0.3821006830171737;0.7234323323591868;735.7319123077642;0.96524531934528;0.9122081665776228;0.897986808855984;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;Tube 2;1802190.0;1802190.0;0.0;219.0;False;E:\Experiments\PTT\Spheroids\30062025_mcf10\01072025\Analysis\2025-07-01_124914_tube2_cropped_8bits\18_0219_0_8bits.tiff;E:\Experiments\PTT\Spheroids\30062025_mcf10\01072025\Analysis\2025-07-01_124914_tube2_segmentationDebug\18_0219_0_segmented.tiff;1893.5;(73. 103);201.63960909843445;0.8650068524440384;49.10070343646851;0.585225821316854;0.5239620777510455;709.2441886967868;0.9602861245176902;0.9092094291227052;0.9154333235135336;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;Tube 2;1802220.0;;;;;;;;;;;;;;;;;;1802220.0;0.0;222.0;False;E:\Experiments\PTT\Spheroids\30062025_mcf10\0207 before lqse\Analysis\2025-07-02_112356_tube2_cropped_8bits\18_0222_0_8bits.tiff;E:\Experiments\PTT\Spheroids\30062025_mcf10\0207 before lqse\Analysis\2025-07-02_112356_tube2_segmentationDebug\18_0222_0_segmented.tiff;1939.5;(72. 82);198.46803605556488;0.8968786127167631;49.69354180387878;0.6187546898225362;0.900129772331756;1036.531832038951;0.9571264619233062;0.906963460397476;0.874576129597855;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;Tube 2;1902220.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1902220.0;0.0;222.0;False;E:\Experiments\PTT\Spheroids\30062025_mcf10\0207 aftr laser\Analysis\2025-07-02_164714_tube2_cropped_8bits\19_0222_0_8bits.tiff;E:\Experiments\PTT\Spheroids\30062025_mcf10\0207 aftr laser\Analysis\2025-07-02_164714_tube2_segmentationDebug\19_0222_0_segmented.tiff;2432.5;(69. 67);254.6101714372635;0.840096701778622;55.65209063969011;0.4715320470455681;0.921883269432794;701.6731687052619;0.9531375507062833;0.8830018369704046;0.8943869167142645;48.0;90.12496820147545;Alive;;;;;;;;;;;;;;;;;
2;Tube 2;1903240.0;1903240.0;0.0;324.0;False;E:\Experiments\PTT\Spheroids\30062025_mcf10\01072025\Analysis\2025-07-01_124914_tube2_cropped_8bits\19_0324_0_8bits.tiff;E:\Experiments\PTT\Spheroids\30062025_mcf10\01072025\Analysis\2025-07-01_124914_tube2_segmentationDebug\19_0324_0_segmented.tiff;1490.5;(78. 76);185.2964633703232;0.8566091954022989;43.56332794252248;0.5455161140417897;0.7577581156566175;564.301484338476;0.965357765350925;0.9274664146061906;0.8963650946698033;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
