Experiment ID;Sheet;merge_number;Name_day0;Index_day0;Wells_day0;multiple_day0;Path 8bcrop_day0;Path segmented_day0;Area (pix2)_day0;Centroid_day0;Perimeter (pix)_day0;Solidity_day0;Equivalent Diameter (pix)_day0;Circularity_day0;Aspect ratio_day0;Mean grey value_day0;Homogeneity_day0;Energy_day0;Correlation_day0;Name_day1;Index_day1;Wells_day1;multiple_day1;Path 8bcrop_day1;Path segmented_day1;Area (pix2)_day1;Centroid_day1;Perimeter (pix)_day1;Solidity_day1;Equivalent Diameter (pix)_day1;Circularity_day1;Aspect ratio_day1;Mean grey value_day1;Homogeneity_day1;Energy_day1;Correlation_day1;Name_day2;Index_day2;Wells_day2;multiple_day2;Path 8bcrop_day2;Path segmented_day2;Area (pix2)_day2;Centroid_day2;Perimeter (pix)_day2;Solidity_day2;Equivalent Diameter (pix)_day2;Circularity_day2;Aspect ratio_day2;Mean grey value_day2;Homogeneity_day2;Energy_day2;Correlation_day2;Max temp (°C)_day2;Normalised alb_day2;Label_day2
1;Tube 5;1402170.0;;;;;;;;;;;;;;;;;;1402170.0;0.0;217.0;False;F:\For Leo to analyse\09092025 hs\11092025 pre laser\Analysis\2025-09-11_111757_tube5_cropped_8bits\14_0217_0_8bits.tiff;F:\For Leo to analyse\09092025 hs\11092025 pre laser\Analysis\2025-09-11_111757_tube5_segmentationDebug\14_0217_0_segmented.tiff;717.5;(71. 65);118.66904664039612;0.8985597996242956;30.22497929440944;0.6402607259568318;0.9094125332567432;611.6312049968183;0.9865662604145036;0.9639436222508392;0.8847743070452002;;;;;;;;;;;;;;;;;;;;
1;Tube 5;1502190.0;1502190.0;0.0;219.0;False;F:\For Leo to analyse\09092025 hs\10092025\Analysis\2025-09-10_145511_tube5-newoil_cropped_8bits\14_0219_0_8bits.tiff;F:\For Leo to analyse\09092025 hs\10092025\Analysis\2025-09-10_145511_tube5-newoil_segmentationDebug\14_0219_0_segmented.tiff;854.0;(76. 69);117.25483310222626;0.9400110071546504;32.97493853222215;0.7805598868269781;0.7292755128426804;568.9792692082326;0.9825291890059517;0.9581243150572708;0.9201447209347612;;;;;;;;;;;;;;;;;;1502190.0;0.0;219.0;False;F:\For Leo to analyse\09092025 hs\11092025 post laser\Analysis\2025-09-11_161319_tube5_cropped_8bits\15_0219_0_8bits.tiff;F:\For Leo to analyse\09092025 hs\11092025 post laser\Analysis\2025-09-11_161319_tube5_segmentationDebug\15_0219_0_segmented.tiff;1201.5;(81. 74);150.32590091228485;0.9199846860643184;39.11262344818228;0.668137747505365;0.7449262166162576;527.424537037037;0.97890721675546;0.9412472942206944;0.9090430920806736;43.0;42.4236541872182;Dead
1;Tube 5;1502200.0;;;;;;;;;;;;;;;;;;1502200.0;0.0;220.0;False;F:\For Leo to analyse\09092025 hs\11092025 pre laser\Analysis\2025-09-11_111757_tube5_cropped_8bits\15_0220_0_8bits.tiff;F:\For Leo to analyse\09092025 hs\11092025 pre laser\Analysis\2025-09-11_111757_tube5_segmentationDebug\15_0220_0_segmented.tiff;1174.5;(68. 66);174.12489008903503;0.8458768455167447;38.67065871292405;0.4867894692546872;0.7055089176606579;759.6481055289303;0.9814002505527178;0.9418522988738808;0.8958809068231118;;;;;;;;;;;;;;;;;;;;
1;Tube 5;1602220.0;1602220.0;0.0;222.0;False;F:\For Leo to analyse\09092025 hs\10092025\Analysis\2025-09-10_145511_tube5-newoil_cropped_8bits\15_0222_0_8bits.tiff;F:\For Leo to analyse\09092025 hs\10092025\Analysis\2025-09-10_145511_tube5-newoil_segmentationDebug\15_0222_0_segmented.tiff;966.0;(77. 72);151.74011421203613;0.8690958164642375;35.070634442709576;0.5272130809387282;0.8725151676243998;518.8845354907833;0.9774544222500006;0.9516800684472748;0.8990641837978233;;;;;;;;;;;;;;;;;;1602220.0;0.0;222.0;False;F:\For Leo to analyse\09092025 hs\11092025 post laser\Analysis\2025-09-11_161319_tube5_cropped_8bits\16_0222_0_8bits.tiff;F:\For Leo to analyse\09092025 hs\11092025 post laser\Analysis\2025-09-11_161319_tube5_segmentationDebug\16_0222_0_segmented.tiff;1024.0;(75. 70);139.39696860313416;0.8904347826086957;36.1081333470564;0.6622213247208847;0.7586434602346999;615.6320384226126;0.979876450422064;0.949789587091825;0.9047182248183736;41.0;37.835405398251176;Dead
1;Tube 5;1602230.0;;;;;;;;;;;;;;;;;;1602230.0;0.0;223.0;False;F:\For Leo to analyse\09092025 hs\11092025 pre laser\Analysis\2025-09-11_111757_tube5_cropped_8bits\16_0223_0_8bits.tiff;F:\For Leo to analyse\09092025 hs\11092025 pre laser\Analysis\2025-09-11_111757_tube5_segmentationDebug\16_0223_0_segmented.tiff;1020.0;(82. 78);156.56854140758514;0.8374384236453202;36.03754064347158;0.5228787886259698;0.7460459714818523;680.7591480513731;0.9774810698092185;0.9489751772106838;0.8676631672445528;;;;;;;;;;;;;;;;;;;;
1;Tube 5;1704240.0;1704240.0;0.0;424.0;False;F:\For Leo to analyse\09092025 hs\10092025\Analysis\2025-09-10_145511_tube5-newoil_cropped_8bits\16_0424_0_8bits.tiff;F:\For Leo to analyse\09092025 hs\10092025\Analysis\2025-09-10_145511_tube5-newoil_segmentationDebug\16_0424_0_segmented.tiff;829.0;(69. 72);127.59797883033752;0.8986449864498645;32.48869930584249;0.6398479815374397;0.6516161905396838;455.1413490923526;0.9792528339500656;0.9584119038677936;0.902611115903603;1704240.0;0.0;424.0;False;F:\For Leo to analyse\09092025 hs\11092025 pre laser\Analysis\2025-09-11_111757_tube5_cropped_8bits\17_0424_0_8bits.tiff;F:\For Leo to analyse\09092025 hs\11092025 pre laser\Analysis\2025-09-11_111757_tube5_segmentationDebug\17_0424_0_segmented.tiff;909.5;(83. 79);128.66904652118683;0.9145299145299144;34.02956605566152;0.6903421678433601;0.7343945217019796;720.7817616959064;0.9812294439661196;0.955272465811278;0.9018371685231288;1704240.0;0.0;424.0;False;F:\For Leo to analyse\09092025 hs\11092025 post laser\Analysis\2025-09-11_161319_tube5_cropped_8bits\17_0424_0_8bits.tiff;F:\For Leo to analyse\09092025 hs\11092025 post laser\Analysis\2025-09-11_161319_tube5_segmentationDebug\17_0424_0_segmented.tiff;961.0;(75. 78);138.42640578746796;0.8820559889857733;34.97975417996089;0.6302246218307828;0.626658897268686;604.4361282289506;0.9792327543891852;0.9527666103638406;0.9142491659862098;43.0;39.388351142209245;Dead
1;Tube 5;1807240.0;1807240.0;0.0;724.0;False;F:\For Leo to analyse\09092025 hs\10092025\Analysis\2025-09-10_145511_tube5-newoil_cropped_8bits\17_0724_0_8bits.tiff;F:\For Leo to analyse\09092025 hs\10092025\Analysis\2025-09-10_145511_tube5-newoil_segmentationDebug\17_0724_0_segmented.tiff;847.5;(80. 73);137.8406195640564;0.850050150451354;32.849208729633816;0.5605251942916705;0.6756564598062863;664.667399150027;0.9790468274755764;0.957251809677532;0.9003148623411036;1807240.0;0.0;724.0;False;F:\For Leo to analyse\09092025 hs\11092025 pre laser\Analysis\2025-09-11_111757_tube5_cropped_8bits\18_0724_0_8bits.tiff;F:\For Leo to analyse\09092025 hs\11092025 pre laser\Analysis\2025-09-11_111757_tube5_segmentationDebug\18_0724_0_segmented.tiff;950.5;(76. 69);143.6396086215973;0.8704212454212454;34.7881328511717;0.578913342363862;0.7588372604589452;784.1642033321409;0.9786896938733016;0.95271294688957;0.8733719468258527;1807240.0;0.0;724.0;False;F:\For Leo to analyse\09092025 hs\11092025 post laser\Analysis\2025-09-11_161319_tube5_cropped_8bits\18_0724_0_8bits.tiff;F:\For Leo to analyse\09092025 hs\11092025 post laser\Analysis\2025-09-11_161319_tube5_segmentationDebug\18_0724_0_segmented.tiff;953.5;(76. 68);134.6690467596054;0.9025082820634168;34.84298933652188;0.6606858253405842;0.7698504188597426;617.5414340332566;0.9800387480681204;0.9530318040268172;0.9131891597631524;40.0;48.00014117688582;Dead
1;Tube 5;1910240.0;1910240.0;0.0;1024.0;False;F:\For Leo to analyse\09092025 hs\10092025\Analysis\2025-09-10_145511_tube5-newoil_cropped_8bits\18_1024_0_8bits.tiff;F:\For Leo to analyse\09092025 hs\10092025\Analysis\2025-09-10_145511_tube5-newoil_segmentationDebug\18_1024_0_segmented.tiff;781.5;(75. 54);129.8406194448471;0.8480737927292458;31.544202386659418;0.5825291853318685;0.8273866461542149;515.2034262853867;0.98037571976798;0.9605205718709056;0.8904891155316295;1910240.0;0.0;1024.0;False;F:\For Leo to analyse\09092025 hs\11092025 pre laser\Analysis\2025-09-11_111757_tube5_cropped_8bits\19_1024_0_8bits.tiff;F:\For Leo to analyse\09092025 hs\11092025 pre laser\Analysis\2025-09-11_111757_tube5_segmentationDebug\19_1024_0_segmented.tiff;783.5;(72. 82);138.32590067386627;0.8182767624020888;31.584540257854;0.5145669060053342;0.8560725304951955;823.3013736263736;0.981008849446622;0.9603438183995924;0.8646091926814569;1910240.0;0.0;1024.0;False;F:\For Leo to analyse\09092025 hs\11092025 post laser\Analysis\2025-09-11_161319_tube5_cropped_8bits\19_1024_0_8bits.tiff;F:\For Leo to analyse\09092025 hs\11092025 post laser\Analysis\2025-09-11_161319_tube5_segmentationDebug\19_1024_0_segmented.tiff;873.0;(71. 74);151.5979790687561;0.8031278748850046;33.33973788969849;0.4773503926063164;0.8504085607018812;698.2274224732621;0.9797677648028096;0.9560137420417132;0.8863005678961478;40.0;50.823678893173216;Alive
1;Tube 5;2013240.0;2013240.0;0.0;1324.0;False;F:\For Leo to analyse\09092025 hs\10092025\Analysis\2025-09-10_145511_tube5-newoil_cropped_8bits\19_1324_0_8bits.tiff;F:\For Leo to analyse\09092025 hs\10092025\Analysis\2025-09-10_145511_tube5-newoil_segmentationDebug\19_1324_0_segmented.tiff;849.5;(70. 72);127.639608502388;0.8998940677966102;32.88794601753841;0.6552428948039695;0.6530483659083184;589.4012060144096;0.9787708481137262;0.954553821611853;0.8938220437774661;2013240.0;0.0;1324.0;False;F:\For Leo to analyse\09092025 hs\11092025 pre laser\Analysis\2025-09-11_111757_tube5_cropped_8bits\20_1324_0_8bits.tiff;F:\For Leo to analyse\09092025 hs\11092025 pre laser\Analysis\2025-09-11_111757_tube5_segmentationDebug\20_1324_0_segmented.tiff;952.0;(78. 83);148.42640614509585;0.8481069042316258;34.815571898044055;0.5430308069116495;0.9322558681131956;759.9248573878106;0.9790889654675352;0.9523125577999038;0.877925718193371;;;;;;;;;;;;;;;;;;;;
1;Tube 5;207050.0;207050.0;0.0;705.0;False;F:\For Leo to analyse\09092025 hs\10092025\Analysis\2025-09-10_145511_tube5-newoil_cropped_8bits\2_0705_0_8bits.tiff;F:\For Leo to analyse\09092025 hs\10092025\Analysis\2025-09-10_145511_tube5-newoil_segmentationDebug\2_0705_0_segmented.tiff;1782.5;(74. 73);192.6101715564728;0.8930360721442886;47.63978892155618;0.6037831188264823;0.7390053132633807;665.6602194162426;0.9591898667901634;0.9138917513673172;0.904716846520911;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
