Experiment ID;Sheet;merge_number;Name_day1;Index_day1;Wells_day1;multiple_day1;Path 8bcrop_day1;Path segmented_day1;Area (um2)_day1;Centroid_day1;Perimeter (pix)_day1;Solidity_day1;Equivalent Diameter (pix)_day1;Circularity_day1;Aspect ratio_day1;Mean grey value_day1;Homogeneity_day1;Energy_day1;Correlation_day1;Name_day2;Index_day2;Wells_day2;multiple_day2;Path 8bcrop_day2;Path segmented_day2;Area (um2)_day2;Centroid_day2;Perimeter (pix)_day2;Solidity_day2;Equivalent Diameter (pix)_day2;Circularity_day2;Aspect ratio_day2;Mean grey value_day2;Homogeneity_day2;Energy_day2;Correlation_day2;Normalised alb_day2;Max temp (°C)_day2;Label_day2;Name_delta;Index_delta;Wells_delta;multiple_delta;Path 8bcrop_delta;Path segmented_delta;Area (um2)_delta;Centroid_delta;Perimeter (pix)_delta;Solidity_delta;Equivalent Diameter (pix)_delta;Circularity_delta;Aspect ratio_delta;Mean grey value_delta;Homogeneity_delta;Energy_delta;Correlation_delta
3;Tube 2;1502200.0;1502200.0;0.0;220.0;False;G:\Experiments\PTT\Spheroids\05052025\06052025\Analysis\2025-05-06_104657_tube2_cropped_8bits2\15_0220_0_8bits.tiff;G:\Experiments\PTT\Spheroids\05052025\06052025\Analysis\2025-05-06_104657_tube2_segmentationDebug2\15_0220_0_segmented.tiff;1354.0;(77. 77);180.710676670074;0.846514535792435;41.5206736887952;0.521027809558867;0.881102524912302;407.407280741937;0.968352722628316;0.933464597147203;0.904972348345249;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Tube 2;1602220.0;1602220.0;0.0;222.0;False;G:\Experiments\PTT\Spheroids\05052025\06052025\Analysis\2025-05-06_104657_tube2_cropped_8bits2\16_0222_0_8bits.tiff;G:\Experiments\PTT\Spheroids\05052025\06052025\Analysis\2025-05-06_104657_tube2_segmentationDebug2\16_0222_0_segmented.tiff;1163.0;(73. 74);147.740114212036;0.897376543209876;38.4808730478791;0.669564960060622;0.883211280581726;264.10484961604;0.97194943770223;0.94292053624708;0.908491549475017;1602220.0;0.0;222.0;False;G:\Experiments\PTT\Spheroids\05052025\07052025 after laser\Analysis\2025-05-07_145019_tube2_cropped_8bits2\16_0222_0_8bits.tiff;G:\Experiments\PTT\Spheroids\05052025\07052025 after laser\Analysis\2025-05-07_145019_tube2_segmentationDebug2\16_0222_0_segmented.tiff;1390.0;(74. 80);171.053822636604;0.8522378908645;42.0690262209844;0.596979057729568;0.917093890432288;850.784609195402;0.97244259264883;0.93231023391654;0.882105825337719;25.304537485297313;52.0;Dead;0.0;0.0;0.0;;;;227.0;;23.313708424568006;-0.04513865234537606;3.5881531731052974;-0.072585902331054;0.03388260985056191;586.6797595793621;0.0004931549466000718;-0.010610302330540056;-0.026385724137298006
3;Tube 2;1704240.0;;;;;;;;;;;;;;;;;;1704240.0;0.0;424.0;False;G:\Experiments\PTT\Spheroids\05052025\07052025 after laser\Analysis\2025-05-07_145019_tube2_cropped_8bits2\17_0424_0_8bits.tiff;G:\Experiments\PTT\Spheroids\05052025\07052025 after laser\Analysis\2025-05-07_145019_tube2_segmentationDebug2\17_0424_0_segmented.tiff;1469.5;(79. 75);192.953317403793;0.810758620689655;43.2553523969961;0.495992323598398;0.595807464897805;1004.05986891035;0.96997743208374;0.928319082203989;0.888269569171808;13.036161244409728;67.0;Dead;;;;;;;;;;;;;;;;;
3;Tube 2;1705240.0;1705240.0;0.0;524.0;False;G:\Experiments\PTT\Spheroids\05052025\06052025\Analysis\2025-05-06_104657_tube2_cropped_8bits2\17_0524_0_8bits.tiff;G:\Experiments\PTT\Spheroids\05052025\06052025\Analysis\2025-05-06_104657_tube2_segmentationDebug2\17_0524_0_segmented.tiff;1058.0;(94. 66);155.053822636604;0.855987055016181;36.7026897969318;0.55300693351594;0.868801358008543;434.905694892833;0.974252377867759;0.94764837611835;0.905592564937785;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Tube 2;1807240.0;;;;;;;;;;;;;;;;;;1807240.0;0.0;724.0;False;G:\Experiments\PTT\Spheroids\05052025\07052025 after laser\Analysis\2025-05-07_145019_tube2_cropped_8bits2\18_0724_0_8bits.tiff;G:\Experiments\PTT\Spheroids\05052025\07052025 after laser\Analysis\2025-05-07_145019_tube2_segmentationDebug2\18_0724_0_segmented.tiff;1309.5;(82. 74);171.154327869415;0.864071263609369;40.832672993948;0.561745492271055;0.833934688094061;807.845024359076;0.979199554378393;0.936064008557027;0.910060397395619;36.98559784231262;52.0;Dead;;;;;;;;;;;;;;;;;
3;Tube 2;1808240.0;1808240.0;0.0;824.0;False;G:\Experiments\PTT\Spheroids\05052025\06052025\Analysis\2025-05-06_104657_tube2_cropped_8bits2\18_0824_0_8bits.tiff;G:\Experiments\PTT\Spheroids\05052025\06052025\Analysis\2025-05-06_104657_tube2_segmentationDebug2\18_0824_0_segmented.tiff;1068.5;(72. 68);132.325900793075;0.936869793950021;36.8843659773286;0.766822190929464;0.945647247929489;219.095311805658;0.973255629488396;0.947821443121582;0.918139622069883;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Tube 2;1910240.0;;;;;;;;;;;;;;;;;;1910240.0;0.0;1024.0;False;G:\Experiments\PTT\Spheroids\05052025\07052025 after laser\Analysis\2025-05-07_145019_tube2_cropped_8bits2\19_1024_0_8bits.tiff;G:\Experiments\PTT\Spheroids\05052025\07052025 after laser\Analysis\2025-05-07_145019_tube2_segmentationDebug2\19_1024_0_segmented.tiff;1706.0;(73. 74);271.539103865623;0.677118475888073;46.6062942457152;0.290752950155394;0.736833655907844;647.070934776666;0.96486103593344;0.914669189290956;0.892830263463129;110.94389432993282;47.0;Alive;;;;;;;;;;;;;;;;;
3;Tube 2;1911240.0;1911240.0;0.0;1124.0;False;G:\Experiments\PTT\Spheroids\05052025\06052025\Analysis\2025-05-06_104657_tube2_cropped_8bits2\19_1124_0_8bits.tiff;G:\Experiments\PTT\Spheroids\05052025\06052025\Analysis\2025-05-06_104657_tube2_segmentationDebug2\19_1124_0_segmented.tiff;438.0;(88. 123);93.4558436870575;0.876876876876876;23.615226456547;0.630189335579977;0.761296376141866;85.3324434195972;0.990506155996562;0.977374499960009;0.927906886901725;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Tube 2;1911240.0;1911240.0;1.0;1124.0;False;G:\Experiments\PTT\Spheroids\05052025\06052025\Analysis\2025-05-06_104657_tube2_cropped_8bits2\19_1124_0_8bits.tiff;G:\Experiments\PTT\Spheroids\05052025\06052025\Analysis\2025-05-06_104657_tube2_segmentationDebug2\19_1124_0_segmented.tiff;1052.0;(74. 65);136.225395679473;0.935526900844819;36.5984699278725;0.7123762758356;0.87090597693207;289.259957561728;0.974052092851349;0.948238117525756;0.899834495141839;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Tube 2;2012240.0;;;;;;;;;;;;;;;;;;2012240.0;0.0;1224.0;False;G:\Experiments\PTT\Spheroids\05052025\07052025 after laser\Analysis\2025-05-07_145019_tube2_cropped_8bits2\20_1224_0_8bits.tiff;G:\Experiments\PTT\Spheroids\05052025\07052025 after laser\Analysis\2025-05-07_145019_tube2_segmentationDebug2\20_1224_0_segmented.tiff;1376.0;(75. 78);193.882249474525;0.788312804354053;41.8566316556359;0.459994033070189;0.95160387851659;1015.04884008073;0.97475975802703;0.932034384628536;0.846578466117392;9.936438523972706;58.0;Dead;;;;;;;;;;;;;;;;;
3;Tube 2;2013240.0;2013240.0;0.0;1324.0;False;G:\Experiments\PTT\Spheroids\05052025\06052025\Analysis\2025-05-06_104657_tube2_cropped_8bits2\20_1324_0_8bits.tiff;G:\Experiments\PTT\Spheroids\05052025\06052025\Analysis\2025-05-06_104657_tube2_segmentationDebug2\20_1324_0_segmented.tiff;1168.5;(81. 70);140.811182022094;0.936673346693386;38.5717566105439;0.740566892045735;0.835320038269145;281.525804542029;0.974513748198075;0.943203417729331;0.930784633793013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Tube 2;209050.0;;;;;;;;;;;;;;;;;;209050.0;0.0;905.0;False;G:\Experiments\PTT\Spheroids\05052025\07052025 after laser\Analysis\2025-05-07_145019_tube2_cropped_8bits2\2_0905_0_8bits.tiff;G:\Experiments\PTT\Spheroids\05052025\07052025 after laser\Analysis\2025-05-07_145019_tube2_segmentationDebug2\2_0905_0_segmented.tiff;1909.5;(70. 69);212.468036174774;0.829496090356212;49.3077165428677;0.531547792893854;0.9294880048544;680.584619985255;0.966415748215037;0.907863580362117;0.915920670011326;154.7968136590629;37.0;Alive;;;;;;;;;;;;;;;;;
