Experiment ID;Sheet;merge_number;Name_day0;Index_day0;Wells_day0;multiple_day0;Path 8bcrop_day0;Path segmented_day0;Area (pix2)_day0;Centroid_day0;Perimeter (pix)_day0;Solidity_day0;Equivalent Diameter (pix)_day0;Circularity_day0;Aspect ratio_day0;Mean grey value_day0;Homogeneity_day0;Energy_day0;Correlation_day0;Name_day1;Index_day1;Wells_day1;multiple_day1;Path 8bcrop_day1;Path segmented_day1;Area (pix2)_day1;Centroid_day1;Perimeter (pix)_day1;Solidity_day1;Equivalent Diameter (pix)_day1;Circularity_day1;Aspect ratio_day1;Mean grey value_day1;Homogeneity_day1;Energy_day1;Correlation_day1;Name_day2;Index_day2;Wells_day2;multiple_day2;Path 8bcrop_day2;Path segmented_day2;Area (pix2)_day2;Centroid_day2;Perimeter (pix)_day2;Solidity_day2;Equivalent Diameter (pix)_day2;Circularity_day2;Aspect ratio_day2;Mean grey value_day2;Homogeneity_day2;Energy_day2;Correlation_day2;Max temp (°C)_day2;Normalised alb_day2;Label_day2;Name_delta;Index_delta;Wells_delta;multiple_delta;Path 8bcrop_delta;Path segmented_delta;Area (pix2)_delta;Centroid_delta;Perimeter (pix)_delta;Solidity_delta;Equivalent Diameter (pix)_delta;Circularity_delta;Aspect ratio_delta;Mean grey value_delta;Homogeneity_delta;Energy_delta;Correlation_delta
1;Tube 5;1002050.0;1002050.0;0.0;205.0;False;G:\Experiments\PTT\Spheroids\14042025\15042025\Analysis\2025-04-15_163206_tube5_cropped_8bits2\10_0205_0_8bits.tiff;G:\Experiments\PTT\Spheroids\14042025\15042025\Analysis\2025-04-15_163206_tube5_segmentationDebug2\10_0205_0_segmented.tiff;2535.0;(78. 82);209.681239008903;0.929252199413489;56.8125183907881;0.72455053138232;0.897689736491593;648.873885317636;0.956228932516354;0.880170990449395;0.92770919107672;;;;;;;;;;;;;;;;;;1002050.0;0.0;205.0;False;E:\Experiments\PTT\Spheroids\14042025\16042025 after laser\Analysis\2025-04-16_161626_tube5_cropped_8bits\10_0205_0_8bits.tiff;E:\Experiments\PTT\Spheroids\14042025\16042025 after laser\Analysis\2025-04-16_161626_tube5_segmentationDebug\10_0205_0_segmented.tiff;2886.0;(71. 76);203.6812388896942;0.9814657371195374;60.618226022423976;0.8741865795725611;0.911363961131112;985.2798942405708;0.9647139319951008;0.8664619040677997;0.8642779108141929;62.8;86.22525918944392;Alive;;;;;;;;;;;;;;;;;
1;Tube 5;1002060.0;;;;;;;;;;;;;;;;;;1002060.0;0.0;206.0;False;G:\Experiments\PTT\Spheroids\14042025\16042025 before laser\Analysis\2025-04-16_100659_tube5_cropped_8bits2\10_0206_0_8bits.tiff;G:\Experiments\PTT\Spheroids\14042025\16042025 before laser\Analysis\2025-04-16_100659_tube5_segmentationDebug2\10_0206_0_segmented.tiff;3184.5;(78. 69);228.40916109085;0.961939284096058;63.6759870768339;0.767050716277289;0.931388858831049;763.565388683844;0.93707869646101;0.850869184624006;0.909653621687173;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Tube 5;106050.0;106050.0;0.0;605.0;False;G:\Experiments\PTT\Spheroids\14042025\15042025\Analysis\2025-04-15_163206_tube5_cropped_8bits2\1_0605_0_8bits.tiff;G:\Experiments\PTT\Spheroids\14042025\15042025\Analysis\2025-04-15_163206_tube5_segmentationDebug2\1_0605_0_segmented.tiff;2636.0;(73. 77);202.166520953178;0.962570750410808;57.9332326037645;0.810469722299692;0.876317292606775;750.258131021194;0.939784745145989;0.875470933917916;0.904854758016736;;;;;;;;;;;;;;;;;;106050.0;0.0;605.0;False;E:\Experiments\PTT\Spheroids\14042025\16042025 after laser\Analysis\2025-04-16_161626_tube5_cropped_8bits\1_0605_0_8bits.tiff;E:\Experiments\PTT\Spheroids\14042025\16042025 after laser\Analysis\2025-04-16_161626_tube5_segmentationDebug\1_0605_0_segmented.tiff;3463.5;(74. 72);259.23758828639984;0.9169976171564734;66.40681563808218;0.6476332101732903;0.8756276522063192;659.5554880320572;0.9440654424657584;0.8376799053222601;0.915002528924172;37.0;93.92554194156456;Alive;;;;;;;;;;;;;;;;;
1;Tube 5;1102080.0;1102080.0;0.0;208.0;False;G:\Experiments\PTT\Spheroids\14042025\15042025\Analysis\2025-04-15_163206_tube5_cropped_8bits2\11_0208_0_8bits.tiff;G:\Experiments\PTT\Spheroids\14042025\15042025\Analysis\2025-04-15_163206_tube5_segmentationDebug2\11_0208_0_segmented.tiff;2437.5;(77. 75);195.095452785491;0.963438735177865;55.7092576713418;0.804748533845349;0.937239288520352;556.89102509663;0.951762818337788;0.884752791498547;0.915705776185953;1102080.0;0.0;208.0;False;G:\Experiments\PTT\Spheroids\14042025\16042025 before laser\Analysis\2025-04-16_100659_tube5_cropped_8bits2\11_0208_0_8bits.tiff;G:\Experiments\PTT\Spheroids\14042025\16042025 before laser\Analysis\2025-04-16_100659_tube5_segmentationDebug2\11_0208_0_segmented.tiff;3019.0;(75. 69);206.651802182197;0.984510027718897;61.9992756857324;0.888371429443531;0.894720770272863;728.97382755357;0.948628231474816;0.859049906139266;0.91093530287375;1102080.0;0.0;208.0;False;E:\Experiments\PTT\Spheroids\14042025\16042025 after laser\Analysis\2025-04-16_161626_tube5_cropped_8bits\11_0208_0_8bits.tiff;E:\Experiments\PTT\Spheroids\14042025\16042025 after laser\Analysis\2025-04-16_161626_tube5_segmentationDebug\11_0208_0_segmented.tiff;3770.0;(74. 79);233.9655095338821;0.9806216673169464;69.28284840890683;0.8654610647121004;0.8739568663885491;1071.934390432418;0.9619433284661868;0.8271950945193033;0.8263451753026894;66.7;2.074300973923971;Dead;0.0;0.0;0.0;;;;751.0;;27.31370735168511;-0.003888360401950508;7.28357272317443;-0.0229103647314306;-0.020763903884313928;342.960562878848;0.01331509699137079;-0.03185481161996273;-0.08459012757106066
1;Tube 5;1202100.0;1202100.0;0.0;210.0;False;G:\Experiments\PTT\Spheroids\14042025\15042025\Analysis\2025-04-15_163206_tube5_cropped_8bits2\12_0210_0_8bits.tiff;G:\Experiments\PTT\Spheroids\14042025\15042025\Analysis\2025-04-15_163206_tube5_segmentationDebug2\12_0210_0_segmented.tiff;432.0;(19. 72);78.7695521116256;0.970786516853932;23.4529205713401;0.874937153189768;0.881221757395498;53.5405808840546;0.989096907205729;0.978085629779785;0.91036822699145;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Tube 5;1202100.0;1202100.0;1.0;210.0;False;G:\Experiments\PTT\Spheroids\14042025\15042025\Analysis\2025-04-15_163206_tube5_cropped_8bits2\12_0210_0_8bits.tiff;G:\Experiments\PTT\Spheroids\14042025\15042025\Analysis\2025-04-15_163206_tube5_segmentationDebug2\12_0210_0_segmented.tiff;2639.0;(71. 71);206.852811932563;0.953051643192488;57.9661897881523;0.775044067240722;0.796190701688585;546.182792777133;0.950230425326848;0.875360349360694;0.933084112877931;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Tube 5;1202110.0;;;;;;;;;;;;;;;;;;1202110.0;0.0;211.0;False;G:\Experiments\PTT\Spheroids\14042025\16042025 before laser\Analysis\2025-04-16_100659_tube5_cropped_8bits2\12_0211_0_8bits.tiff;G:\Experiments\PTT\Spheroids\14042025\16042025 before laser\Analysis\2025-04-16_100659_tube5_segmentationDebug2\12_0211_0_segmented.tiff;3150.0;(74. 71);211.823373675346;0.98483664217602;63.3301236846712;0.882211381645259;0.87196489705863;631.369025593586;0.949730516133674;0.853251962294935;0.927952146932722;1202110.0;0.0;211.0;False;E:\Experiments\PTT\Spheroids\14042025\16042025 after laser\Analysis\2025-04-16_161626_tube5_cropped_8bits\12_0211_0_8bits.tiff;E:\Experiments\PTT\Spheroids\14042025\16042025 after laser\Analysis\2025-04-16_161626_tube5_segmentationDebug\12_0211_0_segmented.tiff;3065.0;(78. 78);214.99494767189023;0.9742530197075652;62.46982635331456;0.833266331719902;0.8920166617995151;688.2541236635417;0.9545540469681016;0.8572235774930764;0.908709372788813;52.0;72.85422557335846;Alive;0.0;0.0;0.0;;;;-85.0;;3.1715739965442253;-0.01058362246845479;-0.8602973313566409;-0.048945049925356976;0.020051764740885103;56.88509806995569;0.004823530834427658;0.003971615198141376;-0.01924277414390896
1;Tube 5;1302130.0;1302130.0;0.0;213.0;False;G:\Experiments\PTT\Spheroids\14042025\15042025\Analysis\2025-04-15_163206_tube5_cropped_8bits2\13_0213_0_8bits.tiff;G:\Experiments\PTT\Spheroids\14042025\15042025\Analysis\2025-04-15_163206_tube5_segmentationDebug2\13_0213_0_segmented.tiff;2272.5;(76. 75);200.267026185989;0.920972644376899;53.7906763799327;0.712024369773802;0.885380418867275;726.143553646064;0.962663022243598;0.892377529109742;0.922527358042855;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Tube 5;1302140.0;;;;;;;;;;;;;;;;;;1302140.0;0.0;214.0;False;G:\Experiments\PTT\Spheroids\14042025\16042025 before laser\Analysis\2025-04-16_100659_tube5_cropped_8bits2\13_0214_0_8bits.tiff;G:\Experiments\PTT\Spheroids\14042025\16042025 before laser\Analysis\2025-04-16_100659_tube5_segmentationDebug2\13_0214_0_segmented.tiff;2612.0;(75. 73);219.480229377746;0.932524098536237;57.6688970836814;0.681384461904784;0.789408146130356;705.723510445981;0.946675212478985;0.876161580106263;0.907282722622154;1302140.0;0.0;214.0;False;E:\Experiments\PTT\Spheroids\14042025\16042025 after laser\Analysis\2025-04-16_161626_tube5_cropped_8bits\13_0214_0_8bits.tiff;E:\Experiments\PTT\Spheroids\14042025\16042025 after laser\Analysis\2025-04-16_161626_tube5_segmentationDebug\13_0214_0_segmented.tiff;3134.5;(69. 75);217.2375885248184;0.9713356058258444;63.174119328823;0.8346572916824595;0.9532470391168169;1033.5413936940254;0.9705408617339134;0.8555731863673356;0.8401554328361873;77.0;3.1965127238454287;Dead;0.0;0.0;0.0;;;;522.5;;-2.2426408529276216;0.03881150728960747;5.505222245141596;0.15327282977767553;0.16383889298646082;327.8178832480444;0.0238656492549284;-0.020588393738927402;-0.06712728978596672
1;Tube 5;1402160.0;1402160.0;0.0;216.0;False;G:\Experiments\PTT\Spheroids\14042025\15042025\Analysis\2025-04-15_163206_tube5_cropped_8bits2\14_0216_0_8bits.tiff;G:\Experiments\PTT\Spheroids\14042025\15042025\Analysis\2025-04-15_163206_tube5_segmentationDebug2\14_0216_0_segmented.tiff;2400.5;(75. 70);201.781744122505;0.937512204647529;55.2848218513613;0.740879931696182;0.905171523946127;651.428329504481;0.950023548106561;0.886276944253278;0.922156002357406;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
