Experiment ID;Sheet;merge_number;Name_day0;Index_day0;Wells_day0;multiple_day0;Path 8bcrop_day0;Path segmented_day0;Area (pix2)_day0;Centroid_day0;Perimeter (pix)_day0;Solidity_day0;Equivalent Diameter (pix)_day0;Circularity_day0;Aspect ratio_day0;Mean grey value_day0;Homogeneity_day0;Energy_day0;Correlation_day0;Normalised alb_day0;Max temp (°C)_day0;Label_day0;Name_day1;Index_day1;Wells_day1;multiple_day1;Path 8bcrop_day1;Path segmented_day1;Area (um2)_day1;Centroid_day1;Perimeter (pix)_day1;Solidity_day1;Equivalent Diameter (pix)_day1;Circularity_day1;Aspect ratio_day1;Mean grey value_day1;Homogeneity_day1;Energy_day1;Correlation_day1;Area (pix2)_day1;Normalised alb_day1;Max temp (°C)_day1;Label_day1;Name_day2;Index_day2;Wells_day2;multiple_day2;Path 8bcrop_day2;Path segmented_day2;Area (um2)_day2;Centroid_day2;Perimeter (pix)_day2;Solidity_day2;Equivalent Diameter (pix)_day2;Circularity_day2;Aspect ratio_day2;Mean grey value_day2;Homogeneity_day2;Energy_day2;Correlation_day2;Normalised alb_day2;Max temp (°C)_day2;Label_day2;Area (pix2)_day2;Name_delta;Index_delta;Wells_delta;multiple_delta;Path 8bcrop_delta;Path segmented_delta;Area (um2)_delta;Centroid_delta;Perimeter (pix)_delta;Solidity_delta;Equivalent Diameter (pix)_delta;Circularity_delta;Aspect ratio_delta;Mean grey value_delta;Homogeneity_delta;Energy_delta;Correlation_delta;Area (pix2)_delta;Normalised alb_delta;Max temp (°C)_delta;Label_delta
1;Tube 5;1703240.0;;;;;;;;;;;;;;;;;;;;;1703240.0;0.0;324.0;False;G:\Experiments\PTT\Spheroids\01072025_mcf7\0307 before laser\Analysis\2025-07-03_104800_tube5_cropped_8bits2\17_0324_0_8bits.tiff;G:\Experiments\PTT\Spheroids\01072025_mcf7\0307 before laser\Analysis\2025-07-03_104800_tube5_segmentationDebug2\17_0324_0_segmented.tiff;1319.0;(75. 76);145.05382323265;0.949945984875765;40.9805192683753;0.787764306871835;0.85605275089233;338.827060415575;0.968757470243583;0.9362993821364;0.930418245365314;;;;;1703240.0;0.0;324.0;False;E:\Experiments\PTT\Spheroids\01072025_mcf7\0307 after\Analysis\2025-07-03_153641_tube5_cropped_8bits\17_0324_0_8bits.tiff;E:\Experiments\PTT\Spheroids\01072025_mcf7\0307 after\Analysis\2025-07-03_153641_tube5_segmentationDebug\17_0324_0_segmented.tiff;1438.0;(71. 70);160.56854164600372;0.9259497746297488;42.78923305376207;0.7008867085378109;0.8425416525163989;1247.1966328138942;0.9726597752632964;0.9303227251099896;0.8717211565011466;4.994180789873613;71.0;Dead;;0.0;0.0;0.0;;;;119.0;;15.514718413353734;-0.02399621024601617;1.8087137853867645;-0.08687759833402409;-0.013511098375931119;908.3695723983192;0.003902305019713337;-0.00597665702641037;-0.05869708886416747;;;;
1;Tube 5;1806240.0;;;;;;;;;;;;;;;;;;;;;1806240.0;0.0;624.0;False;G:\Experiments\PTT\Spheroids\01072025_mcf7\0307 before laser\Analysis\2025-07-03_104800_tube5_cropped_8bits2\18_0624_0_8bits.tiff;G:\Experiments\PTT\Spheroids\01072025_mcf7\0307 before laser\Analysis\2025-07-03_104800_tube5_segmentationDebug2\18_0624_0_segmented.tiff;1183.0;(76. 76);179.740114331245;0.804761904761904;38.810338589372;0.460155462012975;0.707609246528332;436.92501050367;0.971520463262713;0.940828279628338;0.920835123120262;;;;;1806240.0;0.0;624.0;False;E:\Experiments\PTT\Spheroids\01072025_mcf7\0307 after\Analysis\2025-07-03_153641_tube5_cropped_8bits\18_0624_0_8bits.tiff;E:\Experiments\PTT\Spheroids\01072025_mcf7\0307 after\Analysis\2025-07-03_153641_tube5_segmentationDebug\18_0624_0_segmented.tiff;1183.5;(71. 84);186.81118202209475;0.775049115913556;38.81853940057592;0.4261597112453568;0.7475006588087085;1216.5928930281827;0.9744791756091036;0.9409856489670508;0.8493180223402447;9.258315218436797;58.0;Dead;;0.0;0.0;0.0;;;;0.5;;7.071067690849759;-0.02971278884834805;0.008200811203920466;-0.03399575076761824;0.039891412280376515;779.6678825245127;0.0029587123463905574;0.00015736933871279835;-0.07151710078001727;;;;
1;Tube 5;1909240.0;;;;;;;;;;;;;;;;;;;;;1909240.0;0.0;924.0;False;G:\Experiments\PTT\Spheroids\01072025_mcf7\0307 before laser\Analysis\2025-07-03_104800_tube5_cropped_8bits2\19_0924_0_8bits.tiff;G:\Experiments\PTT\Spheroids\01072025_mcf7\0307 before laser\Analysis\2025-07-03_104800_tube5_segmentationDebug2\19_0924_0_segmented.tiff;1072.5;(75. 72);193.639609217643;0.695525291828793;36.9533410090138;0.359433680391063;0.452457292740021;458.501842968262;0.973587151549748;0.944884644110642;0.891749918463245;;;;;1909240.0;0.0;924.0;False;E:\Experiments\PTT\Spheroids\01072025_mcf7\0307 after\Analysis\2025-07-03_153641_tube5_cropped_8bits\19_0924_0_8bits.tiff;E:\Experiments\PTT\Spheroids\01072025_mcf7\0307 after\Analysis\2025-07-03_153641_tube5_segmentationDebug\19_0924_0_segmented.tiff;907.5;(73. 69);124.66904652118684;0.9279141104294478;33.992129778040685;0.7337349761349238;0.798371649710592;298.7602412280703;0.9788242881258432;0.9554276985692166;0.921905105245803;45.99292076255699;55.0;Dead;;0.0;0.0;0.0;;;;-165.0;;-68.97056269645616;0.23238881860065486;-2.961211230973113;0.3743012957438608;0.34591435697057105;-159.7416017401917;0.005237136576095258;0.010543054458574619;0.03015518678255802;;;;
1;Tube 5;2011240.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2011240.0;0.0;1124.0;False;E:\Experiments\PTT\Spheroids\01072025_mcf7\0307 after\Analysis\2025-07-03_153641_tube5_cropped_8bits\20_1124_0_8bits.tiff;E:\Experiments\PTT\Spheroids\01072025_mcf7\0307 after\Analysis\2025-07-03_153641_tube5_segmentationDebug\20_1124_0_segmented.tiff;1162.0;(79. 86);156.56854164600372;0.8626577579806979;38.46432569254606;0.5956717162087712;0.7486474174850045;1050.87200795126;0.9807067438296811;0.9431401742507912;0.8768199200260778;6.255169959409807;73.0;Dead;;;;;;;;;;;;;;;;;;;;;;
1;Tube 5;2012240.0;;;;;;;;;;;;;;;;;;;;;2012240.0;0.0;1224.0;False;G:\Experiments\PTT\Spheroids\01072025_mcf7\0307 before laser\Analysis\2025-07-03_104800_tube5_cropped_8bits2\20_1224_0_8bits.tiff;G:\Experiments\PTT\Spheroids\01072025_mcf7\0307 before laser\Analysis\2025-07-03_104800_tube5_segmentationDebug2\20_1224_0_segmented.tiff;1101.0;(76. 74);147.740114450454;0.897310513447432;37.4411102767187;0.633870179404498;0.897972569846363;536.622688088216;0.977341853329535;0.945841856263663;0.928823072081321;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Tube 5;210050.0;;;;;;;;;;;;;;;;;;;;;210050.0;0.0;1005.0;False;G:\Experiments\PTT\Spheroids\01072025_mcf7\0307 before laser\Analysis\2025-07-03_104800_tube5_cropped_8bits2\2_1005_0_8bits.tiff;G:\Experiments\PTT\Spheroids\01072025_mcf7\0307 before laser\Analysis\2025-07-03_104800_tube5_segmentationDebug2\2_1005_0_segmented.tiff;2392.5;(79. 69);209.438598513603;0.934387814879906;55.1926227930769;0.685406729795786;0.655876515365459;185.564778248587;0.956086251844961;0.886367907194237;0.956669925022213;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Tube 5;212050.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;212050.0;0.0;1205.0;False;E:\Experiments\PTT\Spheroids\01072025_mcf7\0307 after\Analysis\2025-07-03_153641_tube5_cropped_8bits\2_1205_0_8bits.tiff;E:\Experiments\PTT\Spheroids\01072025_mcf7\0307 after\Analysis\2025-07-03_153641_tube5_segmentationDebug\2_1205_0_segmented.tiff;2345.5;(74. 37);217.78174459934235;0.9098138091543831;54.64781196147128;0.6214445108120467;0.6005816643725066;287.60225759736454;0.945932588998458;0.8722164878204967;0.9341655265252669;99.81724794644404;37.0;Alive;;;;;;;;;;;;;;;;;;;;;;
1;Tube 5;313050.0;;;;;;;;;;;;;;;;;;;;;313050.0;0.0;1305.0;False;G:\Experiments\PTT\Spheroids\01072025_mcf7\0307 before laser\Analysis\2025-07-03_104800_tube5_cropped_8bits2\3_1305_0_8bits.tiff;G:\Experiments\PTT\Spheroids\01072025_mcf7\0307 before laser\Analysis\2025-07-03_104800_tube5_segmentationDebug2\3_1305_0_segmented.tiff;2214.5;(76. 84);193.639609217643;0.943746004687833;53.0998019941319;0.742159333544064;0.885123093461986;552.036455331411;0.947786957617743;0.894892258714838;0.926000791885128;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Tube 5;314050.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;314050.0;0.0;1405.0;False;E:\Experiments\PTT\Spheroids\01072025_mcf7\0307 after\Analysis\2025-07-03_153641_tube5_cropped_8bits\3_1405_0_8bits.tiff;E:\Experiments\PTT\Spheroids\01072025_mcf7\0307 after\Analysis\2025-07-03_153641_tube5_segmentationDebug\3_1405_0_segmented.tiff;1815.0;(73. 63);175.0538226366043;0.9382269320237788;48.07213094605148;0.7442919051585886;0.8258845711634913;361.024133339798;0.9680381400441408;0.9134321119289948;0.9415551027965124;106.01158070907798;37.0;Alive;;;;;;;;;;;;;;;;;;;;;;
1;Tube 5;415030.0;;;;;;;;;;;;;;;;;;;;;415030.0;0.0;1503.0;False;G:\Experiments\PTT\Spheroids\01072025_mcf7\0307 before laser\Analysis\2025-07-03_104800_tube5_cropped_8bits2\4_1503_0_8bits.tiff;G:\Experiments\PTT\Spheroids\01072025_mcf7\0307 before laser\Analysis\2025-07-03_104800_tube5_segmentationDebug2\4_1503_0_segmented.tiff;1939.0;(82. 71);178.710676431655;0.946315275744265;49.6871359331716;0.762933483908237;0.885468496476441;517.195948897882;0.956724502392176;0.90758842847488;0.921683296261741;;;;;415030.0;0.0;1503.0;False;E:\Experiments\PTT\Spheroids\01072025_mcf7\0307 after\Analysis\2025-07-03_153641_tube5_cropped_8bits\4_1503_0_8bits.tiff;E:\Experiments\PTT\Spheroids\01072025_mcf7\0307 after\Analysis\2025-07-03_153641_tube5_segmentationDebug\4_1503_0_segmented.tiff;1937.0;(69. 75);182.71067678928372;0.9263510282161646;49.661504187368415;0.7291411890201152;0.9557946320564182;442.51769900536056;0.9569426828484224;0.9074025326641162;0.9186219029567596;99.88361579747226;37.0;Alive;;0.0;0.0;0.0;;;;-2.0;;4.0000003576286645;-0.019964247528100443;-0.025631745803181616;-0.033792294888121854;0.07032613557997724;-74.67824989252142;0.00021818045624644178;-0.00018589581076378092;-0.0030613933049813413;;;;
